acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,punch,log_gyro_mag
0,0,0,0,0,0,0,0,0
1.015229644,8.14983726,8.230002694,2.855649505,2.144627462,2.231337467,48.18969322,0,3.875145165
1.069103374,7.713336213,7.797406454,2.2941883,4.321754717,4.743389323,75.57708612,0,4.325153144
1.269563097,8.155706019,8.267756845,3.067649352,4.746722577,3.015359874,75.55057397,0,4.324802286
1.303963425,7.156259375,7.288801455,2.507933799,1.03776571,1.216492027,30.96172871,0,3.432751884
1.603712373,7.757816894,7.948124869,1.981312948,4.224940568,3.209168859,58.96295668,0,4.076909394
2.613324,9.513548379,12.15075855,74.09970685,88.31043922,42.46435382,1365.130938,1,7.219005628
1.995187807,9.692023419,10.77995966,101.4691068,62.10362358,30.6722205,1329.147179,0,7.192292797
2.107034021,8.009532029,8.288271893,5.92519123,11.53213488,4.281876475,148.2613813,0,4.998976806
1.936243852,7.62499241,7.868785252,2.176209849,1.815580788,2.605234076,45.62144526,0,3.820377897
2.017959844,7.977791505,8.229779706,1.007035663,1.956195713,1.869382294,31.85056098,0,3.461054995
2.105582474,8.466225383,8.797111713,1.5600643,2.45067572,1.89479074,39.81810189,0,3.68432163
6.361581508,11.17255852,16.73108312,162.6718028,157.5237418,73.86775009,2480.638011,1,7.816271069
2.328038098,9.115594566,9.875738756,35.28663788,34.97503061,18.48292741,572.4915072,0,6.349997901
2.440763712,7.949916089,8.320003321,4.32400084,5.610767846,5.048531812,95.90026672,0,4.563308763
2.303090708,7.563519843,7.907035396,0.73809895,2.5750219,3.351968164,45.73808904,0,3.822931409
1.968868391,9.279484144,10.11183097,29.02483459,35.10975408,18.31838405,516.1198116,0,6.246338932
4.632967297,9.110678671,13.74469132,162.3896766,127.2214591,49.27011759,2246.90799,1,7.717310323
1.163881288,8.751102883,9.070436827,38.5729437,32.05309714,19.35685016,553.5313202,0,6.316318336
1.965517736,7.871424191,8.130303889,1.470864666,4.441099128,3.16406934,62.73982254,0,4.138996374
1.98482863,7.950602216,8.198949841,1.352356395,0.716633303,1.543073322,23.83746909,0,3.171258674
1.954494051,7.490948494,7.752174906,2.430554329,2.105252866,2.228008135,41.37971155,0,3.722790702
1.854042049,8.977489826,9.769103195,23.20449091,44.60287931,20.19245039,545.8968391,0,6.302430019
3.076193381,7.963080944,12.89171317,128.0731393,120.8817403,51.22689013,1944.837183,1,7.572933542
1.926902702,8.092104397,8.624824656,23.1600844,27.38339391,21.26413631,437.1255649,0,6.080220488
2.863399594,7.307876876,7.862094158,6.1085858,10.5658669,6.959069798,157.8474387,0,5.061628989
2.69217113,7.772090264,8.231106853,2.961660454,5.180002206,5.441325188,98.22063508,0,4.587216326
2.88536126,7.721071498,8.267909625,6.573244644,12.88078696,4.586253293,159.6078576,0,5.072719917
2.270507967,8.865274766,12.8854953,102.5516846,116.0294417,51.62990914,1723.927049,0,7.452360135
3.214528901,8.482609332,11.4105441,98.52543217,104.9927362,33.40508536,1542.207811,1,7.340970312
2.332303874,8.225745353,8.613856913,19.50404898,14.68431506,12.692928,306.5844071,0,5.725493108
2.468973142,7.783831099,8.167619624,2.39215666,2.610146955,2.753561623,48.8771941,0,3.889310909
2.567676779,7.644245707,8.078528779,8.116048462,9.718580324,5.4279305,145.0556226,0,4.977117273
4.188319443,9.897447862,15.38432052,142.8516128,151.9975656,79.97035038,2357.752352,1,7.765464051
1.225433228,9.827235002,10.56209816,76.99664594,77.90938241,25.70310982,1250.68315,0,7.131445201
2.406874898,7.8067129,8.212052754,4.565640621,12.89663933,3.978382937,154.7035721,0,5.041510848
2.647150903,7.828353777,8.293020006,2.616264448,2.098825479,1.116272831,38.98214735,0,3.663103781
2.702933384,7.626117543,8.141792417,1.176282348,3.500296501,0.650952367,40.20208688,0,3.693918907
2.066322682,8.108653598,8.524362024,19.81335238,23.31790431,14.05665892,345.9626882,0,5.846330932
3.84438925,10.66282456,15.4778994,186.3921966,159.2812302,54.39976611,2700.913459,1,7.901345313
1.342540979,9.059883802,9.365732502,43.44898026,58.9266635,27.79712954,793.7803009,0,6.676806724
2.198475832,7.279505723,7.843634355,3.351983306,10.98878386,4.80720426,132.6966247,0,4.888065505
2.511115832,7.722899733,8.265466277,1.397992883,2.847977237,2.616904033,45.61390742,0,3.820212657
2.38861893,7.601892206,8.095240607,1.077484042,2.445717745,1.590571681,33.66767205,0,3.516538091
2.095506085,9.492474786,10.70581165,51.20911761,63.43352126,34.61602973,896.3964304,0,6.79838276
2.287549749,11.02726431,13.32947392,135.8497786,126.7815007,45.57203431,2016.492589,1,7.609114939
1.818812394,8.237749848,8.619283973,18.27960912,12.8079244,9.799078671,272.4853655,0,5.607584908
2.282578953,7.95489389,8.283121364,2.30889032,3.321561513,5.549438138,73.17185238,0,4.292810817
2.364253577,7.954728181,8.300474381,1.231746925,2.580247114,1.284285894,33.88802836,0,3.523061806
2.609807513,8.093429829,8.507866142,1.42442875,3.599811569,1.227750303,43.40652221,0,3.770609711
3.396915511,11.28506703,15.40016007,134.6090175,114.3620987,84.20588176,2098.982872,1,7.64920816
2.685610066,8.950438108,10.1564276,100.5604217,61.30178992,61.98795827,1407.391928,0,7.249493574
2.648767651,7.971524945,8.435530873,6.744452147,6.609445707,8.329310354,140.0053943,0,4.941680953
2.492542331,7.778536627,8.209128448,2.119270019,4.827546963,3.845868753,75.60311095,0,4.325497432
