acc_x,acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,punch
0,0,0,0,0,0,0,0,0
1.721098821,5.903816523,6.143875224,8.774193879,15.26538251,9.420789512,46.25329887,525.0045649,0
3.983483877,5.089127887,5.712720152,8.645286647,3.62343735,4.306449502,12.32315993,142.4575901,0
4.302121482,5.178316358,5.83094007,8.908434953,2.932956825,2.938893985,2.808276474,54.75551832,0
3.98862876,5.356689454,5.589155547,8.708966405,1.722696103,0.730840771,1.380477011,24.68341027,0
3.989422712,5.367250276,5.500923484,8.659869425,0.450876119,0.855508534,0.820825755,15.34136554,0
16.95069612,9.861019901,8.768568171,22.78931914,34.60842958,44.10324605,80.75300234,1065.801618,1
6.289247173,4.022308873,7.085371617,10.77946157,94.70047524,32.81573303,100.0653662,1562.88207,1
3.641440755,5.774394442,5.20238121,8.59292228,3.096558585,4.393061619,5.429106455,89.17225506,0
3.762615289,5.844167837,5.213599802,8.689306469,0.896807873,0.948880588,1.400177453,20.87649043,0
3.773140878,5.843491636,5.150364392,8.655353653,0.341009573,1.121285714,0.653120029,14.45371569,0
6.95729392,5.548672842,6.485096375,11.42465124,26.57135771,14.65115974,11.50605212,336.6716905,0
5.872590405,6.265064384,5.40661263,10.69150476,62.18312339,25.72814389,133.8037713,1595.952798,1
4.937260035,5.897850819,5.985684229,9.901569119,21.32539425,7.524860173,9.315360499,270.8656454,1
3.468519257,6.21718277,4.973384252,8.687224901,2.623514488,2.918877046,0.787633489,44.48730619,0
3.513432093,6.308084331,4.804975516,8.673925294,1.180426387,1.683843523,0.601786001,22.36925698,0
3.42613351,6.329445012,4.770920285,8.635187491,0.705651555,1.13945374,1.197294032,20.59150009,0
10.88394822,12.16635388,7.32777042,19.67929904,58.56056389,49.28544352,105.405495,1506.140305,1
6.297142109,5.468055391,6.234906203,10.94050728,81.96825676,33.60843367,91.63353646,1421.075012,1
3.382187766,6.357454642,4.868908825,8.698976766,2.802827305,5.436317126,2.31817175,72.00068849,0
3.448109291,6.339737069,4.765973051,8.648661225,0.462154963,0.849209744,1.675311739,20.59475623,0
3.488772252,6.326403751,4.758859473,8.651549225,0.644248455,1.25367267,1.102767626,20.75983947,0
3.963947019,6.26533042,5.02532183,9.013112086,2.959698747,2.9132721,2.681138865,54.15915951,0
