acc_x,acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,punch
3.603542654,6.672406899,4.181158045,8.660145969,1.995891679,1.498365058,2.962018956,40.65044927,0
3.691623688,6.446080215,4.319118222,8.594545465,1.425580656,1.923954381,0.869256498,29.54423126,0
3.628660454,6.631753054,4.42346184,8.759846863,1.403033122,0.962750762,1.549793909,24.32621126,0
3.583700825,6.679213833,4.538135432,8.842120279,1.018063581,1.790387677,1.363269049,27.42252995,0
8.4650124,6.09551597,5.780519791,13.68938542,86.28955447,30.94449936,144.0827871,1918.140954,1
6.556801539,6.240474662,5.999681699,11.19632144,36.20061264,17.9479567,9.164415372,430.3876501,1
3.785800936,6.656333138,4.337438354,8.802742937,2.024963291,3.104943713,1.872357362,44.91888235,0
3.668239236,6.584679071,4.149119933,8.604712129,0.68777228,0.942074636,1.462238545,21.08175237,0
3.567829145,6.703482131,4.171970686,8.665472772,1.175881183,3.602946286,2.942599218,50.43183626,0
9.589762925,10.89849616,5.90094468,17.83964922,100.1094033,38.93270862,148.0085022,2102.717552,1
6.541761125,6.796130315,6.451850878,11.92613056,43.71499454,23.9943792,22.12063158,611.5231778,1
3.820508378,6.51049482,4.268764593,8.679130673,4.329130961,2.725110326,2.276674449,64.8022725,0
3.68013316,6.586050484,4.239818189,8.656000235,1.573286407,2.56021884,1.933226471,39.40904696,0
9.724775592,8.143697104,5.213522422,15.57458481,105.2415643,49.57048244,182.4826224,2461.739669,1
6.549993176,7.074335278,6.193819263,11.86407551,58.33245024,25.41512771,28.13900152,748.5884008,1
3.648243832,6.640221028,4.29634682,8.723679543,7.23916071,3.25675153,3.146451568,91.3278129,0
3.524976175,6.932794082,4.262329409,8.869604616,1.797170655,2.154224427,1.612692872,34.01215873,0
3.624373681,6.582699411,4.273882186,8.648279489,5.538658073,11.16314246,3.078303764,133.8189078,0
7.416664284,7.630125871,6.425013622,13.34211546,105.6204328,64.70498053,115.7195977,1992.349306,1
6.336086425,6.307940164,7.110562562,11.69294992,56.12110127,34.60936831,70.05549772,1087.286088,1
3.044154936,6.810460114,4.505186516,8.716723038,8.184309123,4.514682543,12.25909952,169.0671633,0
3.11941575,6.896214149,4.151416457,8.634055806,1.625266035,1.077747335,1.832746805,29.30424392,0
2.999711391,6.968852745,4.12392429,8.63595909,0.915301194,1.210746517,2.288252986,29.62799294,0
2.997925467,7.017768212,4.402835637,8.853876021,3.137014739,3.131226889,3.466922193,58.03437617,0
10.01417001,7.466963099,5.895975915,15.1186588,108.1681265,44.93293483,149.3929168,2248.435997,1
5.717837999,6.41219527,5.702036631,10.55589673,26.06810425,14.18114117,13.3374384,355.1667821,1
3.415539918,6.789085492,4.257684543,8.717620786,3.988107953,1.97093451,3.213605829,63.37497095,0
3.323420192,6.861808181,4.011226817,8.616422463,0.953806692,1.809342391,1.387355188,27.3321203,0
3.452034899,6.97677328,4.062191961,8.780867688,1.407686639,1.85531921,1.030732895,26.74521321,0
3.721343419,7.451740101,5.604874616,10.28105433,20.2735132,39.9734117,10.35982898,495.2287674,1
21.43487729,20.08610397,10.51320228,36.63067932,258.4612967,104.1757267,117.3393928,3295.708628,1
2.435585408,6.846716046,4.682345031,9.211948423,3.807867886,2.821698508,6.042425089,85.77024457,0
2.86580439,7.251679383,4.364368877,9.008882524,1.868378171,1.739524504,2.008945808,36.94907194,0
2.403164499,7.036708344,3.84260112,8.373689432,2.070959762,2.037194113,3.759242176,50.23953335,0
2.146018417,7.44855907,3.634371419,8.565125537,4.46995073,5.403364566,6.122267147,95.51328036,0
1.851077862,7.934998971,3.05303538,8.705483684,3.431116338,4.07336577,3.535264894,74.64087292,0
2.727132369,7.256002137,2.843632143,8.302027945,11.47074701,33.35572485,9.744097722,387.8353145,1
1.898261831,7.937305385,2.211263724,8.628175142,12.18832012,10.5880044,17.85704414,253.3097297,1
3.405101896,7.960411606,3.051746517,9.569466219,1.349961773,3.674895939,2.855688367,54.18931825,0
3.962694465,8.33435028,2.957478042,9.907922291,3.209641495,4.202430429,1.929169405,65.96184724,0
