acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,log_gyro_mag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4.590700620982101,7.19640433893376,8.602284349513782,1.4687350776359975,0.5955894212460935,0.323815607667779,16.96257238513105,2.8310092925140666
4.86225536143432,7.031326422022228,8.655116272196535,8.388698526354366,9.375943845009973,1.2412733538652365,150.58256402402736,5.014511531930264
4.222273585643619,6.89592764180466,8.398853748029913,26.350607559055536,47.78328462401607,4.975856648324622,590.4289270656427,6.380849267793402
2.9089755955762855,10.140373223401117,17.514011382952877,48.43999101515532,82.93277451122886,46.38485613237671,1214.1699212821527,7.101815929932032
3.0723632083545827,7.219443674858783,12.846696110894184,60.18344365368292,69.17510918802928,56.33235089106255,1166.4716332809608,7.061738773361225
3.994890197554292,10.531366448104231,17.515177422828653,76.80610631993513,87.38388079954626,93.79307420344858,1703.5823632902009,7.440488585383473
2.8730777080846486,9.925259788281718,16.18654826135371,85.91927350287642,86.83996122945395,91.16545639771441,1736.1707525124464,7.459437250125486
1.972579979423204,8.676671166568203,10.839044286828512,35.377227822132014,25.38627777278435,18.432073273639098,497.38159791160535,6.209357534126019
2.9487565309546393,10.315676012565563,13.773063299388662,148.0546970126993,71.05074963905123,104.94174315631874,2212.49834784175,7.701877630143613
